timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.30,1.03,146.66,0,36
0.59,1.72,145.63,0,78
0.88,8.66,151.00,0,299
1.08,31.76,154.18,0,853
1.32,52.47,183.53,0,1927
1.53,131.21,163.56,0,3807
1.74,87.84,195.86,0,3807
1.96,119.40,162.09,0,3807
2.16,117.31,160.62,0,3807
2.37,120.67,161.52,0,3807
2.57,116.57,159.50,0,3807
2.77,105.74,152.75,0,3807
3.01,84.92,202.44,0,3807
3.22,120.08,152.84,0,3807
3.49,60.34,219.50,0,3807
3.70,89.83,282.67,0,3807
4.01,76.21,157.48,4,2665
4.22,86.61,154.78,0,2681
4.42,109.11,158.87,0,2681
4.63,116.79,154.47,0,2681
4.84,114.67,158.31,0,2681
5.04,116.01,154.16,0,2681
5.26,113.52,161.63,0,2681
5.46,120.41,154.37,0,2681
5.69,117.87,168.08,0,2681
5.90,120.48,159.38,0,2681
6.10,109.69,150.15,0,2681
6.31,115.51,157.96,0,2681
6.51,126.55,150.88,0,2681
6.75,103.95,165.24,0,2681
6.96,104.39,167.54,0,2681
7.17,131.73,154.28,0,2681
7.38,124.41,154.68,0,2681
7.59,108.69,156.22,0,2681
7.80,121.19,166.61,0,2681
8.02,113.27,166.66,0,2681
8.24,103.17,163.65,0,2681
8.44,131.05,151.33,0,2681
8.81,74.21,309.39,0,2681
9.16,61.09,301.88,0,2681
9.47,90.27,230.15,0,2681
9.67,117.54,152.46,0,2681
9.88,115.93,152.75,0,2681
