timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.31,1.00,153.56,0,37
0.62,1.74,155.95,0,83
0.93,8.83,157.61,0,324
1.14,31.68,171.40,0,880
1.35,64.34,166.51,0,2023
1.59,86.11,195.02,0,3855
1.79,120.04,171.92,0,5941
2.00,107.39,179.45,0,7835
2.22,119.35,177.32,0,10125
2.43,120.11,184.37,0,12282
2.63,105.66,191.87,0,14114
2.84,119.55,183.63,0,16253
3.04,109.44,203.26,0,18181
3.25,127.02,167.89,0,20493
3.46,125.99,184.69,0,22775
3.67,125.90,184.22,0,25083
3.89,92.98,224.07,0,26829
4.18,68.26,286.27,0,28537
4.53,44.17,215.20,4,1816
4.74,74.13,160.31,0,21754
4.94,118.17,191.65,0,21754
5.14,114.98,198.42,0,21754
5.35,121.14,179.99,0,21754
5.56,132.83,161.68,0,21754
5.76,119.18,180.92,0,21754
5.97,128.41,168.28,0,21754
6.19,122.62,180.89,0,21754
6.41,121.84,191.90,0,21754
6.63,126.56,187.50,0,21754
6.83,136.45,176.48,0,21754
7.04,125.03,162.78,0,21754
7.24,100.95,213.15,0,21754
7.45,141.09,171.33,0,21754
7.65,128.49,173.22,0,21754
7.92,91.68,258.46,0,21754
8.16,42.38,266.92,0,21754
8.36,113.26,183.87,0,21754
8.57,126.77,179.26,0,21754
8.77,122.02,183.75,0,21754
8.99,133.69,164.99,0,21754
9.20,127.64,173.60,0,21754
9.40,121.72,180.77,0,21754
9.61,133.20,164.75,0,21754
9.81,123.97,161.48,0,21754
