timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.23,1.38,111.33,0,38
0.45,2.35,110.84,0,81
0.67,12.40,116.97,0,326
0.92,46.91,112.71,0,1228
1.13,83.85,123.18,0,1296
1.34,89.94,130.87,0,1296
1.54,96.88,127.08,0,1296
1.75,69.99,146.58,0,1296
1.99,27.79,230.22,0,1304
2.19,77.32,155.16,0,1362
2.39,84.70,115.81,0,1362
2.60,104.88,116.45,0,1362
2.81,93.61,115.29,0,1362
3.01,90.00,132.97,0,1362
3.23,95.73,130.14,0,1362
3.43,99.37,119.80,0,1362
3.63,88.96,112.36,0,1362
3.85,97.64,126.06,0,1362
4.08,88.15,128.72,0,1362
4.29,94.64,123.23,0,1362
4.51,89.37,119.16,0,1362
4.71,87.02,112.08,0,1362
4.93,96.41,131.94,0,1387
5.14,88.46,157.53,0,1434
5.37,84.73,151.43,0,1441
5.58,108.62,119.05,0,1510
5.80,88.35,118.78,0,1510
6.00,92.25,115.58,0,1510
6.24,64.80,181.10,0,1510
6.45,73.81,129.15,0,1510
6.66,57.16,129.38,0,1510
6.87,44.61,139.63,0,1510
7.07,57.17,155.71,0,1510
7.27,111.41,115.87,0,1557
7.49,85.89,123.84,0,1587
7.70,93.45,120.46,0,1587
7.90,87.78,121.74,0,1587
8.10,98.41,113.81,0,1587
8.31,85.34,137.82,0,1587
8.54,88.40,154.76,0,1587
8.74,116.60,117.17,0,1587
8.95,82.62,121.67,0,1587
9.18,90.13,125.50,0,1587
9.38,97.28,122.48,0,1587
9.58,75.07,119.23,0,1587
9.78,96.00,121.09,0,1587
9.98,103.42,117.38,0,1587
