timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.23,1.25,110.75,0,36
0.46,3.57,110.44,0,105
0.68,12.09,114.80,0,335
0.91,34.29,166.66,0,1028
1.17,26.25,297.92,0,1607
1.37,111.20,156.60,0,3157
1.59,62.71,196.76,0,3607
1.79,127.88,146.16,0,3969
2.00,104.68,152.18,0,3969
2.23,119.03,146.03,0,3969
2.50,75.01,227.81,0,3969
2.72,109.49,139.14,0,3969
2.98,75.70,174.19,0,3969
3.19,122.45,137.62,0,3969
3.39,104.19,129.53,0,3969
3.61,83.96,138.41,0,3969
3.81,103.25,124.06,0,3969
4.02,79.76,164.82,0,3969
4.23,92.81,134.70,0,3969
4.48,74.33,235.25,0,3969
4.71,124.54,146.49,0,3969
4.93,60.39,249.89,0,3969
5.25,80.50,279.52,0,3969
5.56,65.93,302.87,0,3969
5.81,108.50,177.47,0,3969
6.03,139.07,138.23,0,3969
6.26,66.78,175.58,0,3969
6.48,107.98,159.88,0,3969
6.68,133.57,117.49,0,3969
6.88,92.48,144.79,0,3969
7.09,93.29,130.48,0,3969
7.29,68.24,204.50,0,3969
7.50,130.02,139.94,0,3969
7.70,99.12,146.12,0,3969
7.91,122.06,120.47,0,3969
8.12,91.15,176.56,0,3969
8.32,126.99,123.22,0,3969
8.52,103.33,153.69,0,3969
8.73,113.64,123.87,0,3969
8.94,111.84,128.36,0,3969
9.15,101.19,161.02,0,3969
9.35,118.05,129.25,0,3969
9.56,117.75,122.92,0,3969
9.76,115.18,122.62,0,3969
9.97,101.35,125.68,0,3969
