timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.22,3.40,69.33,0,75
0.43,14.79,69.29,0,344
0.66,66.77,101.75,0,1656
0.87,81.81,96.69,0,3164
1.08,77.03,107.44,0,4558
1.33,80.01,162.62,0,6317
1.80,27.87,500.88,1,7444
2.13,61.35,194.39,1,5949
2.87,9.48,122.61,9,1128
3.29,53.47,93.29,5,4461
3.50,58.45,109.99,0,4461
3.70,105.11,113.63,0,4461
3.91,95.97,91.50,0,4461
4.11,96.70,87.56,0,4461
4.32,101.85,95.10,0,4461
4.52,98.14,87.31,0,4461
4.73,91.15,108.33,0,4461
4.94,100.16,86.94,0,4461
5.15,63.23,153.97,0,4461
5.37,110.37,106.07,0,4461
5.61,73.35,137.14,0,4461
5.81,82.38,145.24,0,4461
6.23,43.97,381.66,1,4461
6.54,90.99,178.96,0,4461
6.76,102.82,119.77,0,4461
6.96,98.10,122.62,0,4461
7.22,37.84,295.88,0,4461
7.43,145.62,84.48,0,4461
7.65,102.85,94.85,0,4461
7.87,104.59,99.75,0,4461
8.10,98.17,98.65,0,4461
8.32,107.06,101.24,0,4461
8.53,102.22,96.72,0,4461
8.73,109.06,99.89,0,4461
8.93,107.64,88.60,0,4461
9.14,107.54,86.00,0,4461
9.37,99.98,99.85,0,4461
9.57,107.11,86.76,0,4461
9.78,87.68,119.03,0,4461
9.98,113.63,101.92,0,4461
