timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.29,2.70,86.20,0,79
0.50,17.85,73.03,0,396
0.82,47.50,171.86,0,1700
1.02,141.50,95.71,0,2997
1.23,105.80,96.64,0,2997
1.43,120.45,92.97,0,2997
1.64,121.20,92.76,0,2997
1.85,123.86,103.11,0,2997
2.05,119.61,89.21,0,3612
2.27,116.85,115.68,0,3612
2.47,119.55,98.93,0,3612
2.71,103.36,118.60,0,3640
2.93,124.92,89.06,0,3640
3.13,115.63,89.14,0,3640
3.34,129.01,95.02,0,3640
3.59,92.47,153.03,0,3640
3.83,141.56,108.69,0,3640
4.04,101.08,111.20,0,3640
4.24,122.85,99.55,0,3640
4.45,122.76,87.62,0,3640
4.68,117.34,94.44,0,3640
4.93,81.66,163.01,0,3789
5.32,106.50,226.81,0,3963
5.57,97.71,180.51,0,3963
5.81,121.65,121.24,0,3963
6.01,128.53,95.16,0,3963
6.23,113.45,110.91,0,3963
6.44,112.91,102.31,0,3963
6.65,117.89,109.60,0,3963
6.88,135.08,104.06,0,3963
7.10,129.19,108.55,0,3963
7.30,130.86,103.49,0,3963
7.53,114.57,145.50,0,3963
7.74,143.76,97.04,0,3963
7.96,125.90,94.75,0,3963
8.16,126.72,99.96,0,3963
8.37,117.68,86.69,0,3963
8.57,123.25,89.86,0,3963
8.77,120.85,75.89,0,3963
8.99,121.52,97.76,0,3963
9.21,122.04,98.56,0,3963
9.42,121.97,97.99,0,3963
9.63,145.07,91.17,0,3963
9.84,109.34,95.16,0,3963
10.07,90.40,174.36,0,3963
