algo,successful_runs,failed_runs,min_goodput_mbps,median_goodput_mbps,avg_goodput_mbps,p95_goodput_mbps,avg_rtt_ms,avg_retransmits,total_retransmits,avg_cwnd
cubic,1,0,1.03,113.27,97.53,130.60,172.74,0.09,4,2731.19
our_cc,1,0,1.00,119.80,102.90,133.62,185.69,0.09,4,17302.64
reno,1,0,1.00,115.23,100.28,128.79,175.45,0.00,0,3548.11
