timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.33,1.00,160.42,0,38
0.62,1.99,153.73,0,88
0.82,12.26,160.31,0,304
1.09,16.14,158.39,0,676
1.29,45.96,173.75,0,1473
1.51,64.26,177.01,0,2695
1.71,60.07,189.03,0,2999
1.92,120.98,168.74,0,3984
2.12,125.16,165.52,0,3984
2.34,120.38,171.26,0,3984
2.55,122.01,170.35,0,3984
2.77,128.73,177.08,0,3984
2.98,115.23,171.99,0,3984
3.24,112.13,184.53,0,3984
3.45,123.47,166.31,0,3984
3.66,119.49,171.78,0,3984
3.87,108.40,176.74,0,3984
4.09,114.09,184.74,0,3984
4.30,102.02,175.83,0,3984
4.51,102.50,174.97,0,3984
4.71,119.24,181.12,0,3984
4.92,125.11,161.71,0,3984
5.13,119.38,163.13,0,3984
5.33,125.76,159.22,0,3984
5.54,123.99,168.74,0,3984
5.76,120.79,175.05,0,3984
5.98,128.81,162.88,0,3984
6.19,121.35,161.90,0,3984
6.39,111.33,174.63,0,3984
6.65,117.25,177.28,0,3984
6.86,106.28,175.87,0,3984
7.09,130.08,170.33,0,3984
7.33,122.91,163.33,0,3984
7.54,112.63,170.24,0,3984
7.77,62.45,268.37,0,3984
8.02,107.45,191.05,0,3984
8.23,56.18,181.99,0,3984
8.47,61.42,232.79,0,3984
8.69,131.83,173.63,0,3984
8.90,128.42,170.23,0,3984
9.11,111.13,177.95,0,3984
9.31,116.47,161.85,0,3984
9.52,109.38,178.35,0,3984
9.72,119.53,179.63,0,3984
9.94,107.35,181.66,0,3984
