timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.28,0.37,263.56,0,19
0.54,0.86,246.69,0,38
0.78,0.19,246.62,0,42
1.02,1.86,242.21,0,80
1.27,4.21,243.84,0,173
1.51,7.06,244.65,0,319
1.76,15.57,245.72,0,655
2.02,32.58,245.58,0,1371
2.25,44.50,338.69,0,2256
2.46,61.21,252.73,0,2541
2.77,49.06,266.95,0,2541
3.07,28.31,421.10,0,2541
3.27,95.38,260.05,0,2541
3.50,67.07,259.22,0,2541
3.71,86.33,255.50,0,2541
3.92,91.61,249.28,0,2541
4.13,73.73,268.77,0,2541
4.33,94.05,248.39,0,2541
4.54,84.33,250.35,0,2541
4.75,87.76,251.84,0,2541
4.97,79.07,255.39,0,2541
5.18,91.93,248.84,0,2541
5.39,85.23,249.51,0,2541
5.60,84.79,251.45,0,2541
5.82,82.85,246.35,0,2541
6.02,90.62,246.60,0,2541
6.22,89.42,246.75,0,2541
6.43,85.53,250.10,0,2541
6.63,92.82,245.98,0,2541
6.83,85.93,246.34,0,2541
7.04,85.40,247.54,0,2541
7.24,93.58,244.25,0,2541
7.45,89.02,245.25,0,2541
7.65,74.71,245.98,0,2541
7.96,65.12,343.40,0,2541
8.17,63.61,260.58,0,2541
8.40,60.15,256.54,0,2541
8.62,51.73,268.21,0,2541
8.82,92.12,252.27,0,2541
9.03,74.60,257.66,0,2541
9.24,93.13,247.72,0,2541
9.48,68.36,310.28,0,2541
9.73,55.96,368.49,0,2541
10.02,51.88,353.88,0,2541
