timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.25,0.42,245.06,0,20
0.60,0.66,330.77,0,40
0.88,1.10,255.49,0,66
1.11,1.94,244.49,0,106
1.36,2.99,252.30,0,170
1.61,8.01,246.74,0,340
1.86,18.20,245.07,0,738
2.11,29.93,247.57,0,1395
2.37,60.25,252.15,0,2735
2.58,90.47,255.11,0,4335
2.78,86.06,253.87,0,5856
2.99,84.78,250.97,0,7358
3.20,88.98,261.05,0,8963
3.41,80.25,269.02,0,10424
3.61,88.48,262.65,0,11970
3.82,86.29,251.99,0,13513
4.02,89.57,250.18,0,15062
4.23,90.32,259.19,0,16698
4.45,84.01,256.30,0,18336
4.66,83.62,247.89,0,19848
4.88,88.94,274.61,0,21487
5.08,96.21,257.28,0,23191
5.37,85.80,263.11,0,25339
5.70,41.20,318.74,0,26514
6.03,81.24,313.48,0,28787
6.47,67.79,269.69,1,22509
6.70,21.68,244.53,0,22509
6.90,103.76,250.85,0,22509
7.11,85.39,257.27,0,22509
7.33,66.20,256.86,0,22509
7.53,86.97,273.88,0,22509
7.73,93.54,258.30,0,22509
7.95,87.90,254.00,0,22509
8.15,93.93,253.16,0,22509
8.35,81.23,247.90,0,22509
8.56,85.36,261.56,0,22509
8.77,93.78,248.67,0,22509
8.97,81.70,254.46,0,22509
9.18,89.83,254.18,0,22509
9.40,88.97,259.82,0,22509
9.60,81.53,267.27,0,22509
9.81,81.61,254.49,0,22509
