timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.24,0.34,238.26,0,18
0.49,1.02,237.61,0,40
0.73,1.07,237.60,0,62
0.96,1.95,236.92,0,101
1.19,3.66,238.97,0,175
1.44,8.86,240.89,0,363
1.69,13.50,251.18,0,655
1.94,32.56,243.52,0,1357
2.18,61.12,242.03,0,2660
2.49,62.32,346.73,0,3974
2.78,58.21,431.10,0,3974
3.01,87.10,309.43,0,3974
3.23,88.78,256.76,0,3984
3.45,64.63,252.42,0,3984
3.71,82.18,294.12,0,3984
3.94,75.82,253.03,0,3984
4.16,100.28,246.84,0,3984
4.37,75.97,248.37,0,3984
4.60,77.02,251.36,0,3984
4.82,98.23,258.35,0,3984
5.02,78.45,251.79,0,3984
5.22,89.35,247.20,0,3984
5.44,83.07,255.18,0,3984
5.65,90.91,248.53,0,3984
5.87,87.34,251.19,0,3984
6.08,94.94,247.32,0,3984
6.29,91.33,245.03,0,3984
6.50,87.24,244.34,0,3984
6.71,85.48,250.41,0,3984
6.93,91.47,247.10,0,3984
7.14,88.85,248.65,0,3984
7.34,87.35,241.97,0,3984
7.55,84.58,244.83,0,3984
7.77,94.78,258.51,0,3984
7.98,95.32,245.72,0,3984
8.20,74.80,271.81,0,3984
8.41,63.88,280.04,0,3984
8.65,62.79,331.84,0,3984
8.85,95.73,272.61,0,3984
9.08,32.93,241.57,0,3984
9.32,92.72,244.21,0,3984
9.53,102.92,252.13,0,3984
9.73,85.48,248.71,0,3984
9.94,74.78,255.16,0,3984
