timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.31,1.05,149.13,0,39
0.60,2.28,150.42,0,96
0.81,12.43,150.52,0,319
1.04,16.44,148.63,0,648
1.24,59.38,150.25,0,1675
1.44,92.16,154.93,0,2432
1.65,100.60,157.43,0,2432
1.85,100.12,160.24,0,2432
2.06,100.54,157.24,0,2432
2.27,89.86,164.48,0,2432
2.47,105.04,159.90,0,2432
2.69,94.83,181.05,0,2432
3.03,69.26,262.76,0,2432
3.29,53.24,344.15,0,2432
3.49,113.77,161.60,0,2432
3.69,72.34,161.14,0,2432
3.98,62.43,248.94,0,2432
4.21,113.10,172.95,0,2432
4.41,112.15,159.66,0,2432
4.62,105.22,166.66,0,2432
4.84,95.90,169.83,0,2432
5.05,100.12,163.37,0,2432
5.27,96.95,162.10,0,2432
5.48,100.01,160.79,0,2432
5.68,98.22,164.48,0,2432
5.89,103.16,151.90,0,2432
6.14,96.95,191.92,0,2432
6.34,123.41,153.12,0,2432
6.56,104.97,160.93,0,2432
6.77,107.13,156.26,0,2432
7.00,106.09,178.20,0,2432
7.21,105.40,155.40,0,2432
7.41,119.59,159.01,0,2432
7.62,118.00,157.23,0,2432
7.82,105.33,152.75,0,2432
8.08,95.17,212.79,0,2432
8.28,133.01,154.77,0,2432
8.49,100.65,175.17,0,2432
8.71,120.03,158.58,0,2432
8.92,106.78,159.18,0,2432
9.14,98.25,178.92,0,2432
9.34,94.56,163.45,0,2432
9.58,62.54,249.21,0,2432
9.80,105.59,190.21,0,2432
10.04,51.60,192.06,0,2432
