timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.31,1.01,150.87,0,38
0.61,2.46,151.56,0,102
0.91,8.91,154.05,0,328
1.11,29.69,156.45,0,858
1.32,57.17,174.29,0,1870
1.54,101.06,165.50,0,3800
1.78,100.18,186.09,0,3877
1.98,89.93,182.32,0,3964
2.19,123.11,176.35,0,3964
2.41,73.21,256.51,0,3977
2.62,122.39,183.90,0,3977
2.84,78.93,238.72,0,3977
3.08,71.99,202.82,0,3977
3.30,93.19,188.07,0,3977
3.51,114.10,186.57,0,3977
3.72,127.58,180.18,0,3977
3.92,110.18,174.09,0,3977
4.13,119.47,178.96,0,3977
4.33,132.89,172.18,0,3977
4.55,97.27,185.82,0,3987
4.76,126.39,166.12,0,3987
4.96,122.95,164.71,0,3987
5.16,113.65,167.16,0,3987
5.38,117.17,167.45,0,3987
5.59,106.75,186.64,0,3987
5.81,115.00,177.19,0,3987
6.03,124.65,170.65,0,3987
6.23,111.41,183.61,0,3987
6.43,120.16,185.66,0,3987
6.64,100.17,208.72,0,3987
6.85,120.44,160.26,0,3987
7.15,65.62,285.63,0,3987
7.37,115.40,170.17,0,3987
7.58,106.02,179.67,0,3987
9.11,20.42,191.83,8,1993
9.31,14.87,165.13,0,1993
9.52,108.09,158.27,0,1993
9.76,95.24,181.30,0,1993
9.96,120.03,153.83,0,1993
