timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.33,0.94,155.14,0,38
0.62,2.49,154.40,0,100
0.93,9.41,155.99,0,349
1.13,39.50,154.41,0,1032
1.33,67.03,156.24,0,2232
1.55,98.42,169.74,0,4021
1.78,99.46,183.77,0,6006
2.00,112.33,183.24,0,8174
2.21,109.79,195.83,0,10196
2.42,116.03,183.78,0,12237
2.64,102.89,200.95,0,14225
2.86,98.42,197.56,0,16042
3.07,109.83,204.04,0,18033
3.27,103.33,214.63,0,19846
3.48,106.60,218.04,0,21759
3.78,95.74,214.63,1,1926
3.98,8.37,193.47,0,16752
4.21,88.90,266.04,0,16752
4.49,73.29,292.17,0,16752
4.73,73.89,237.75,0,16752
5.02,31.53,440.63,0,16752
5.24,108.49,195.68,0,16752
5.44,83.56,223.65,0,16752
5.65,97.09,203.22,0,16752
5.86,115.13,171.36,0,16752
6.07,93.78,198.83,0,16752
6.28,117.29,192.01,0,16752
6.48,101.94,188.73,0,16752
6.69,117.31,190.72,0,16752
6.92,99.90,206.18,0,16752
7.12,113.79,195.79,0,16752
7.33,120.06,181.88,0,16752
7.54,116.26,182.45,0,16752
7.76,110.76,193.42,0,16752
7.96,114.65,184.49,0,16752
8.19,90.46,196.85,0,16752
8.40,120.48,172.88,0,16752
8.64,86.23,226.88,0,16752
8.84,130.76,180.08,0,16752
9.05,123.78,184.14,0,16752
9.27,128.87,176.81,0,16752
9.49,127.11,164.78,0,16752
9.70,124.11,169.15,0,16752
9.91,117.30,185.11,0,16752
