timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.21,11.57,45.41,0,218
0.41,69.18,51.28,0,1423
0.65,67.33,106.12,0,2827
0.88,84.69,106.81,0,4476
1.10,74.55,100.77,0,5931
1.31,75.03,107.99,0,7255
1.51,70.41,76.78,1,5859
1.72,66.08,99.82,0,5859
1.93,80.61,93.10,0,5859
2.13,86.13,85.04,0,5859
2.35,76.65,69.47,0,5859
2.55,87.92,77.37,0,5859
2.78,57.38,141.44,0,5859
3.02,68.29,176.03,0,5859
3.24,119.78,93.57,0,5859
3.45,63.40,96.45,0,5859
3.73,58.76,166.46,0,5859
4.05,29.24,346.77,1,5859
4.32,109.92,137.70,0,5859
4.53,102.64,92.44,0,5859
4.74,27.56,242.07,0,5859
5.09,54.05,313.89,0,5859
6.19,8.17,37.59,31,1146
7.08,3.43,34.05,26,1120
7.32,0.44,33.89,7,1113
7.90,39.29,33.98,16,4394
8.11,78.71,77.94,0,4394
8.33,92.64,113.96,0,4394
8.57,97.38,83.82,0,4394
8.78,108.72,91.46,0,4394
9.03,81.49,110.97,0,4394
9.25,98.03,153.05,0,4394
9.51,104.82,160.13,0,4394
9.72,74.34,239.35,0,4394
10.00,82.11,189.11,0,4394
