timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.21,10.34,41.59,0,95
0.43,25.60,39.62,0,119
0.63,40.49,34.62,0,155
0.84,47.06,38.21,0,196
1.05,66.46,35.85,0,259
1.26,81.51,35.62,0,330
1.46,103.19,37.32,0,420
1.66,90.89,50.75,0,491
1.86,126.40,42.94,0,602
2.07,114.91,49.00,0,670
2.27,110.83,57.20,0,713
2.48,122.80,55.25,0,779
2.68,128.10,39.83,0,811
2.90,116.10,57.05,0,882
3.10,133.82,47.91,0,924
3.34,122.23,58.15,0,942
3.58,108.90,71.29,0,949
3.78,145.54,42.52,0,992
3.99,121.05,52.67,0,1048
4.19,119.06,45.64,0,1048
4.40,138.73,41.63,0,1099
4.62,120.09,50.50,0,1099
4.83,72.85,128.79,0,1099
5.14,74.39,159.55,0,1106
5.34,130.05,49.41,0,1160
5.54,108.79,55.15,0,1160
5.78,72.22,53.78,0,1220
6.14,44.43,188.04,0,1226
6.34,150.12,52.99,0,1285
6.56,106.92,70.57,0,1285
6.77,116.59,55.27,0,1285
6.98,124.26,50.58,0,1285
7.18,118.33,53.94,0,1285
7.39,117.07,41.45,0,1285
7.59,116.70,51.36,0,1285
7.79,122.67,51.16,0,1285
7.99,130.16,43.70,0,1285
8.21,120.03,56.95,0,1285
8.42,116.46,64.16,0,1285
8.62,124.93,40.07,0,1285
8.83,127.00,39.29,0,1285
9.04,118.74,51.95,0,1285
9.26,121.74,53.18,0,1285
9.46,112.48,65.17,0,1285
9.69,112.00,80.96,0,1285
10.02,50.93,216.11,0,1346
