timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.33,1.01,158.85,0,40
0.63,2.59,149.26,0,105
0.93,9.45,153.33,0,351
1.14,35.58,159.58,0,987
1.35,59.98,159.01,0,2064
1.57,103.20,168.24,0,3849
1.78,113.05,170.90,0,3933
1.98,119.34,170.72,0,3933
2.21,115.98,182.71,0,3937
2.42,108.12,180.05,0,3937
2.62,100.96,169.08,0,3972
2.85,109.35,192.87,0,3972
3.06,117.67,175.56,0,3972
3.27,123.06,166.06,0,3972
3.47,107.08,172.95,0,3972
3.67,115.11,166.23,0,3972
3.88,115.59,168.46,0,3972
4.09,105.27,167.66,0,3972
4.29,108.43,173.88,0,3972
4.49,131.07,172.87,0,3972
4.73,112.69,185.73,0,3972
4.93,105.44,180.17,0,3972
5.15,118.18,173.23,0,3977
5.39,101.74,200.14,0,3977
5.67,75.41,261.98,0,3977
6.03,49.08,325.62,0,4023
6.23,122.25,162.34,0,4023
6.48,45.28,246.54,0,4023
6.71,104.58,178.40,0,4023
6.92,50.32,234.73,0,4023
7.15,102.91,204.29,0,4023
7.38,110.67,193.44,0,4023
7.60,97.41,188.08,0,4023
7.80,110.29,159.37,0,4023
8.04,101.01,189.47,0,4023
8.24,112.82,179.47,0,4023
8.46,103.80,170.68,0,4023
8.66,113.64,169.22,0,4023
8.89,93.09,208.26,0,4023
9.13,112.37,180.29,0,4023
9.35,107.62,184.92,0,4023
9.61,110.57,197.29,0,4023
9.82,113.75,167.56,0,4023
