timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.31,0.95,145.80,0,36
0.60,2.62,147.63,0,102
0.89,9.22,149.52,0,337
1.10,40.20,154.42,0,1068
1.33,46.46,185.75,0,1962
1.56,97.66,173.40,0,2204
1.80,69.65,214.39,0,2204
2.03,111.16,205.30,0,2204
2.23,92.44,155.98,0,2204
2.53,78.77,241.33,0,2204
2.73,78.92,196.69,0,2204
2.99,55.30,287.62,0,2204
3.19,110.74,167.00,0,2204
3.42,93.98,187.77,0,2204
3.62,107.14,184.06,0,2204
3.83,102.59,157.68,0,2204
4.04,91.35,157.50,0,2204
4.26,105.60,158.96,0,2204
4.48,86.65,170.28,0,2204
4.68,110.60,156.63,0,2204
4.89,115.02,154.19,0,2204
5.09,111.69,159.80,0,2204
5.30,115.09,149.23,0,2204
5.50,99.22,161.89,0,2204
5.71,113.30,192.54,0,2204
5.92,102.79,150.95,0,2204
6.12,129.27,148.20,0,2204
6.33,123.52,151.25,0,2204
6.54,114.04,155.12,0,2204
6.74,118.39,152.62,0,2204
7.15,40.62,404.21,0,2204
7.36,52.91,429.55,0,2204
7.57,97.50,154.22,0,2204
7.79,99.78,165.82,0,2204
8.00,114.08,153.44,0,2204
8.20,98.97,154.81,0,2204
8.44,114.03,159.07,0,2204
8.64,100.63,156.49,0,2204
8.85,101.67,152.36,0,2204
9.05,111.97,153.15,0,2204
9.25,107.81,149.91,0,2204
9.45,88.12,156.75,0,2204
9.66,104.88,151.32,0,2204
9.87,116.60,153.67,0,2204
