timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.31,0.83,148.08,0,32
0.60,1.92,148.94,0,80
0.90,10.36,155.11,0,354
1.11,46.87,159.92,0,1198
1.34,47.10,183.18,0,2112
1.54,108.51,173.98,0,4044
1.77,86.33,196.44,0,5717
1.97,130.02,163.69,0,8037
2.21,108.89,195.53,0,10217
2.43,134.87,190.56,0,12842
2.65,116.97,174.21,0,15016
2.88,113.07,204.94,0,17295
3.08,109.74,199.40,0,19220
3.30,118.16,201.06,0,21383
3.51,84.59,246.93,0,22937
3.77,114.59,195.88,1,17741
3.99,22.64,212.02,0,17741
4.22,104.37,199.12,0,17741
4.63,44.46,412.33,0,17741
4.85,101.53,197.38,0,17741
5.06,96.35,177.65,0,17741
5.26,108.47,201.64,0,17741
5.46,129.60,177.86,0,17741
5.67,115.84,185.07,0,17741
5.88,110.80,183.39,0,17741
6.10,120.18,181.60,0,17741
6.31,109.90,198.10,0,17741
6.52,112.54,189.97,0,17741
6.73,110.81,184.06,0,17741
6.93,107.76,194.87,0,17741
7.14,110.04,185.22,0,17741
7.34,118.72,175.07,0,17741
7.55,103.44,196.30,0,17741
7.75,131.99,174.04,0,17741
7.98,92.20,214.78,0,17741
12.08,9.11,165.26,24,13305
